gemeindename,plz,bundesland,partnergemeinde,land,kontinent,seit,form,latitude,longitude
Herford(Kreis)(Herford, Stadt),32051,Niedersachsen,Jelgava,Lettland,Europa,2000,1.288011,103.852371
Herford(Kreis)(Herford, Stadt),32051,Niedersachsen,Voiron,Frankreich,Europa,2000,1.288011,103.852371
Herford(Kreis)(Herford, Stadt),32051,Niedersachsen,Refrewshire,Großbritannien,Europa,2000,1.288011,103.852371
Herford(Kreis)(Herford, Stadt),32051,Niedersachsen,Quincy,USA,Amerika,2000,1.288011,103.852371
Herford(Kreis)(Herford, Stadt),32051,Niedersachsen,Bassando del Grappa,Italien,Europa,2000,1.288011,103.852371
Heringen (Werra),36266,Hessen,Rombas,Frankreich,Europa,1981,p,50.8833,9.9873
Heringen/Helme,99765,Thüringen,Odolanów (Adamsdorfer Feld),Polen,Europa,1984,p,,
Heringen/Helme,99765,Thüringen,Balatonmariafürd,Ungarn,Europa,2004,p,,
Herleshausen,37293,Hessen,Cléder,Frankreich,Europa,1964,p,51.0167,10.1667
Hermannsburg,29320,Niedersachsen,Auterive,Frankreich,Europa,1979,p,52.8325,10.0896
Hermeskeil,54411,Rheinland-Pfalz,Saint Fargean,Frankreich,Europa,1974,p,49.6553,6.9441
Herne,44623,Nordrhein-Westfalen,Hénin-Beaumont,Frankreich,Europa,1954,p,51.5426,7.219
Herne,44623,Nordrhein-Westfalen,Wakefield,Großbritannien,Europa,1956,p,51.5426,7.219
Herne,44623,Nordrhein-Westfalen,Insel Ometepe,Nicaragua,Amerika,1988,p,51.5426,7.219
Herne,44623,Nordrhein-Westfalen,Konin,Polen,Europa,1991,p,51.5426,7.219
Herne,44623,Nordrhein-Westfalen,Belgorod,Rußland,Europa,1990,p,51.5426,7.219
Heroldsbach,91336,Bayern,Breguzzo,Italien,Europa,2000,p,49.6935,10.9981
Herren-Sulzbach,66280,Rheinland-Pfalz,Wejk en Aalburg,Niederlande,Europa,1977,f,49.65,7.5333
Herrenberg,71083,Baden-Württemberg,Amplepuis (Rhone),Frankreich,Europa,1970,p,48.5964,8.8702
Herrenberg,71083,Baden-Württemberg,Tarare (Rhone),Frankreich,Europa,1960,p,48.5964,8.8702
Herrenberg,71083,Baden-Württemberg,Fidenza,Italien,Europa,1989,p,48.5964,8.8702
Herrieden,91567,Bayern,Melk,Österreich,Europa,1982,p,49.2378,10.5035
Herrischried,79737,Baden-Württemberg,Le Castellet,Frankreich,Europa,1978,p,47.6667,8
Herrsching,82211,Bayern,Chatra,Indien,Asien,1996,p,48.02579,11.142456
Herrsching,82211,Bayern,Ravina,Italien,Europa,2007,p,48.02579,11.142456
Hersbruck,91217,Bayern,Voitsberg,Österreich,Europa,1986,k,49.5081,11.4317
Hersbruck,91217,Bayern,Rila,Bulgarien,Europa,1989,k,49.5081,11.4317
Hersbruck,91217,Bayern,Hilterfingen-Hünibach,Schweiz,Europa,1972,p,49.5081,11.4317
Hersbruck,91217,Bayern,Les Sables d`Olonne,Frankreich,Europa,1987,k,49.5081,11.4317
Hersbruck,91217,Bayern,Lossiemouth,Großbritannien,Europa,1972,p,49.5081,11.4317
Hersbruck,91217,Bayern,Pavia,Italien,Europa,1990,k,49.5081,11.4317
Hersbruck,91217,Bayern,Chiba,Japan,Asien,1990,k,49.5081,11.4317
Hersbruck,91217,Bayern,Nowaja Uschiza,Ukraine,Europa,1991,k,49.5081,11.4317
Herschbach,56249,Rheinland-Pfalz,Pleudihen sur Rance,Frankreich,Europa,1979,p,50.5833,7.7333
Hersfeld-Rotenburg(Kreis)(Bad Hersfeld, Kreisstadt),36251,Hessen,Hyvinkää,Finnland,Europa,2000,50.8878499,9.676203
Herten,45699,Nordrhein-Westfalen,Arras,Frankreich,Europa,1984,p,51.5964,7.1439
Herten,45699,Nordrhein-Westfalen,Doncaster,Großbritannien,Europa,1989,p,51.5964,7.1439
Herten,45699,Nordrhein-Westfalen,Szczytno,Polen,Europa,2009,p,51.5964,7.1439
Herxheim bei Landau/ Pfalz,76863,Rheinland-Pfalz,Saint-Apollinaire,Frankreich,Europa,1979,p,,
Herxheim bei Landau/ Pfalz,76863,Rheinland-Pfalz,Ilfracombe,Großbritannien,Europa,1980,p,,
Herzberg,19374,Mecklenburg-Vorpommern,Narowlja,,,2004,p,53.524598,11.84455
Herzberg (Elster),4916,Brandenburg,Swiebodzin (Schwiebus),Polen,Europa,1996,p,51.741484,13.245882
Herzberg am Harz,37412,Niedersachsen,Góra,Polen,Europa,1993,p,51.6296,10.3301
Herzebrock-Clarholz,33442,Nordrhein-Westfalen,Le Chambon-Feugerolles,Frankreich,Europa,1973,p,51.9,8.2167
Herzebrock-Clarholz,33442,Nordrhein-Westfalen,Steenwijkerland,Niederlande,Europa,1994,p,51.9,8.2167
Herzogenaurach,91074,Bayern,Wolfsberg,Österreich,Europa,1968,p,49.568,10.8856
Herzogenaurach,91074,Bayern,Kaya,Burkina Faso,Afrika,1982,p,49.568,10.8856
Herzogenaurach,91074,Bayern,Sainte-Luce-sur-Loire,Frankreich,Europa,1988,p,49.568,10.8856
Herzogenaurach,91074,Bayern,Nova Gradiska,Kroatien,Europa,1980,p,49.568,10.8856
Herzogenrath,52134,Nordrhein-Westfalen,Plerin,Frankreich,Europa,1986,p,50.8706,6.1012
Herzogenrath,52134,Nordrhein-Westfalen,Bistritz,Rumänien,Europa,2005,p,50.8706,6.1012
Hesel,26835,Niedersachsen,Ten Boer,Niederlande,Europa,1994,k,53.3,7.6
Hesel(Samtgemeinde),26835,Niedersachsen,Ten Boer,Niederlande,Europa,1994,f,53.302101,7.613234
Hessisch Lichtenau,37235,Hessen,Schlierbach,Österreich,Europa,1962,p,51.1995,9.7186
Hessisch Lichtenau,37235,Hessen,Dessel,Belgien,Europa,1972,p,51.1995,9.7186
Hessisch Lichtenau,37235,Hessen,Orgelet,Frankreich,Europa,1966,p,51.1995,9.7186
Hettenleidelheim,67310,Rheinland-Pfalz,Blanzy,Frankreich,Europa,1978,p,49.5356,8.0736
Hettstadt,97265,Bayern,Argences,Frankreich,Europa,1987,p,49.7994,9.815
Heubach,73540,Baden-Württemberg,Waidhofen,Österreich,Europa,1982,p,48.7924,9.9341
Heubach,73540,Baden-Württemberg,Laxoy,Frankreich,Europa,1964,p,48.7924,9.9341
Heuchelheim,35452,Hessen,Gemenos,Frankreich,Europa,1970,p,50.5833,8.6333
Heuchelheim,35452,Hessen,Dobrzen-Wielki (Groß Döbern),Polen,Europa,1992,p,50.5833,8.6333
Heusenstamm,63150,Hessen,Malle,Belgien,Europa,1991,p,50.0578,8.8127
Heusenstamm,63150,Hessen,Saint Savin,Frankreich,Europa,1969,p,50.0578,8.8127
Heusenstamm,63150,Hessen,Tonbridge & Malling,Großbritannien,Europa,1984,p,50.0578,8.8127
Heusweiler,66265,Saarland,Orvault,Frankreich,Europa,1988,p,49.35,6.9333
Hiddenhausen,32120,Nordrhein-Westfalen,Czechowice-Dziedzice (Schechowitz O.S),Polen,Europa,1991,p,52.1667,8.6167
Hiddenhausen,32120,Nordrhein-Westfalen,Kungäly,Schweden,Europa,1991,p,52.1667,8.6167
Hilchenbach,57271,Nordrhein-Westfalen,Ruinen,Niederlande,Europa,1965,p,50.9969,8.1106
Hildburghausen,98646,Thüringen,Pelhrimov (Pilmersreuth),Tschech. Republik,Europa,2000,k,50.4265,10.7259
Hildburghausen,98646,Thüringen,Morlaix,Frankreich,Europa,2000,k,50.4265,10.7259
Hildburghausen(Kreis)(Hildburghausen, Stadt),,Thüringen,Kursk,Rußland,Europa,1995,1.288011,103.852371
Hilden,40721,Nordrhein-Westfalen,Nové Mesto nad Metuji (Neustadt a.d. Mettau),Tschech. Republik,Europa,1990,p,51.1682,6.9309
Hilden,40721,Nordrhein-Westfalen,Warrington,Großbritannien,Europa,1975,p,51.1682,6.9309
Hilden,40721,Nordrhein-Westfalen,Maribor,Slowenien,Europa,1998,k,51.1682,6.9309
Hilders,36115,Hessen,Kachtern,Belgien,Europa,1974,p,50.5719,10.003
Hildesheim,31134,Niedersachsen,El Minia,Ägypten,Afrika,1979,p,52.1508,9.9511
Hildesheim,31134,Niedersachsen,Angoulême,Frankreich,Europa,1965,p,52.1508,9.9511
Hildesheim,31134,Niedersachsen,North Somerset,Großbritannien,Europa,1986,p,52.1508,9.9511
Hildesheim,31134,Niedersachsen,Weston-super-Mare,Großbritannien,Europa,1983,p,52.1508,9.9511
Hildesheim,31134,Niedersachsen,Padang,Indonesien,Asien,1988,p,52.1508,9.9511
Hildesheim,31134,Niedersachsen,Gelendjik,Rußland,Europa,1992,p,52.1508,9.9511
Hildesheim,31134,Niedersachsen,Pavia,Italien,Europa,2000,p,52.1508,9.9511
Hildesheim(Kreis)(Hildesheim, Stadt),31134,Niedersachsen,Hirschberg,Polen,Europa,2000,1.288011,103.852371
Hildesheim(Kreis)(Hildesheim, Stadt),31134,Niedersachsen,Nysa,Polen,Europa,1992,1.288011,103.852371
Hillesheim,54576,Rheinland-Pfalz,Houffalize,Belgien,Europa,1987,p,50.2918,6.6696
Hilpoltstein,91161,Bayern,Le Canton le Seilhac,Frankreich,Europa,2000,p,49.1884,11.1897
Hilter am Teutoburger Wald,49176,Niedersachsen,Delden,Niederlande,Europa,1966,p,52.1644,8.1468
Himmelpforten,21709,Niedersachsen,Lorrez-le-Bocage,Frankreich,Europa,1990,p,53.6141,9.3052
Hinterzarten,79856,Baden-Württemberg,Eguisheim,Frankreich,Europa,1968,f,47.9061,8.1054
Hirrlingen,72145,Baden-Württemberg,Risch,Schweiz,Europa,2000,k,48.4124,8.8875
Hirrlingen,72145,Baden-Württemberg,Hajos (Hajasch),Ungarn,Europa,1982,p,48.4124,8.8875
Hirrlingen,72145,Baden-Württemberg,Minerbio,Italien,Europa,1988,p,48.4124,8.8875
Hirschberg,7927,Thüringen,Pilismarót,Ungarn,Europa,1995,p,50.4054,11.8183
Hirschberg an der Bergstraße,69493,Baden-Württemberg,Brignais,Frankreich,Europa,1986,p,48.7369398,14.9178309
Hirschberg an der Bergstraße,69493,Baden-Württemberg,Schweighouse,Frankreich,Europa,1986,k,48.7369398,14.9178309
Hirschhorn (Neckar),69434,Hessen,Château-Landon,Frankreich,Europa,1981,p,49.4481,8.8981
Hitzacker (Elbe),29456,Niedersachsen,Obecni uvad Tousen,Tschech. Republik,Europa,1990,k,53.1525,11.0442
Hitzacker (Elbe),29456,Niedersachsen,Wisch,Niederlande,Europa,1971,p,53.1525,11.0442
Höchberg,97204,Bayern,Luz-Saint-Sauveur,Frankreich,Europa,1977,p,49.77501,9.870079
Höchberg,97204,Bayern,Bastia Umbra,Italien,Europa,1989,p,49.77501,9.870079
Höchenschwand,79862,Baden-Württemberg,Arradon,Frankreich,Europa,1988,p,47.721519,8.177728
Hochheim am Main,65239,Hessen,Le Pontet,Frankreich,Europa,1986,p,50.0144,8.3522
Hochheim am Main,65239,Hessen,Bonyhad,Ungarn,Europa,1997,f,50.0144,8.3522
Hochsauerlandkreis(Kreis)(Meschede, Stadt),59872,Nordrhein-Westfalen,Megiddo,Israel,Asien,1993,1.288011,103.852371
Hochsauerlandkreis(Kreis)(Meschede, Stadt),59872,Nordrhein-Westfalen,District West-Lothian,Großbritannien,Europa,1972,1.288011,103.852371
Hochsauerlandkreis(Kreis)(Meschede, Stadt),59872,Nordrhein-Westfalen,Powiat Oleski,Polen,Europa,2003,1.288011,103.852371
Höchst i. Odw.,64739,Hessen,Montmélian,Frankreich,Europa,1966,p,49.789816,8.965527
Höchstadt a.d.Aisch,91315,Bayern,Krasnogorsk,Rußland,Europa,2003,p,49.71589,10.819906
Höchstadt a.d.Aisch,91315,Bayern,Castlebar,Irland,Europa,2000,p,49.71589,10.819906
Hochtaunuskreis(Kreis)(Bad Homburg v.d. Höhe, Stadt),61348,Hessen,Hagilboa,Israel,Asien,1990,1.288011,103.852371
Hockenheim,68766,Baden-Württemberg,Commercy,Frankreich,Europa,1970,p,49.3233,8.5519
Hockenheim,68766,Baden-Württemberg,Mooresville,USA,Amerika,2002,p,49.3233,8.5519
Hockenheim,68766,Baden-Württemberg,Samba,Burkina Faso,Afrika,1985,f,49.3233,8.5519
Hof,95028,Bayern,Villeneuve-la-Garenne,Frankreich,Europa,1980,p,50.3162,11.9183
Hof,95028,Bayern,Joensuu,Finnland,Europa,1969,p,50.3162,11.9183
Hof,95028,Bayern,Ogden,USA,Amerika,1954,p,50.3162,11.9183
Hof,95028,Bayern,Egar,Tschech. Republik,Europa,2004,p,50.3162,11.9183
Hof,95028,Bayern,Hof,Österreich,Europa,1990,f,50.3162,11.9183
Hofgeismar,34369,Hessen,Rosenau,Österreich,Europa,1983,p,51.5005,9.4105
Hofgeismar,34369,Hessen,Maringues,Frankreich,Europa,1984,p,51.5005,9.4105
Hofgeismar,34369,Hessen,Pont-Aven,Frankreich,Europa,1972,p,51.5005,9.4105
Hofheim am Taunus,65719,Hessen,Chinon,Frankreich,Europa,1967,p,50.0781,8.4362
Hofheim am Taunus,65719,Hessen,Tiverton,Großbritannien,Europa,1980,p,50.0781,8.4362
Hofheim am Taunus,65719,Hessen,Tenkodogo,Burkina Faso,Afrika,2008,k,50.0781,8.4362
Hofheim am Taunus,65719,Hessen,Buccino,Italien,Europa,2008,p,50.0781,8.4362
Hofheim am Taunus,65719,Hessen,Pruszcz Gdanski,Polen,Europa,2012,p,50.0781,8.4362
Hofkirchen,94544,Bayern,Hofkirchen,Österreich,Europa,1976,p,48.678,13.1192
Hohberg,77749,Baden-Württemberg,Duppigheim,Frankreich,Europa,2000,k,48.4167,7.9167
Hohberg,77749,Baden-Württemberg,Eschau,Frankreich,Europa,2000,k,48.4167,7.9167
Hohberg,77749,Baden-Württemberg,Goxwiller,Frankreich,Europa,2000,k,48.4167,7.9167
Hohe Börde,39167,Sachsen-Anhalt,Soulaines sur Aubonce,Frankreich,Europa,2006,p,52.13239,11.455818
Hohen Neuendorf,16540,Brandenburg,Maing,Frankreich,Europa,2000,k,52.6763,13.2777
Hohen Neuendorf,16540,Brandenburg,Runrio,Niederlande,Europa,2000,k,52.6763,13.2777
Hohen Neuendorf,16540,Brandenburg,Janow Podlaski,Polen,Europa,1995,p,52.6763,13.2777
Hohenau,94545,Bayern,Hohenau an der March,Österreich,Europa,1987,k,48.8498,13.4882
Hohenhameln,31249,Niedersachsen,Loppersum,Niederlande,Europa,1988,f,52.2667,10.0667
Höhenkirchen-Siegertsbrunn,85635,Bayern,Chéroy,Frankreich,Europa,1967,p,48.0367778,11.7136971
Höhenkirchen-Siegertsbrunn,85635,Bayern,Lake Bluff,USA,Amerika,1994,f,48.0367778,11.7136971
Hohenleuben,7958,Thüringen,Zambana,Italien,Europa,2000,p,50.7113,12.0543
Hohenlockstedt,25551,Schleswig-Holstein,Lapua,Finnland,Europa,1973,p,54.0061,9.6374
Hohenlohekreis(Kreis)(Künzelsau, Stadt),74653,Baden-Württemberg,Limerick,Irland,Europa,1990,1.288011,103.852371
Hohenlohekreis(Kreis)(Künzelsau, Stadt),74653,Baden-Württemberg,Kelmes Rajono Savivaldybes,Litauen,Europa,2000,1.288011,103.852371
Hohenlohekreis(Kreis)(Künzelsau, Stadt),74653,Baden-Württemberg,Ventspils Rajona Padome,Lettland,Europa,2000,1.288011,103.852371
Hohenlohekreis(Kreis)(Künzelsau, Stadt),74653,Baden-Württemberg,Jyväskylä,Finnland,Europa,2000,1.288011,103.852371
Hohenlohekreis(Kreis)(Künzelsau, Stadt),74653,Baden-Württemberg,Fermanagh District Council,Großbritannien,Europa,2000,1.288011,103.852371
Hohenstein-Ernstthal,9337,Sachsen,Welingrad,Bulgarien,Europa,2000,k,50.8006,12.7129
Hohenstein-Ernstthal,9337,Sachsen,Dugny,Frankreich,Europa,1969,k,50.8006,12.7129
Hohentengen,88367,Baden-Württemberg,Coeur de Combrailles,Frankreich,Europa,2001,p,48.0295,9.3774
Hohentengen,88367,Baden-Württemberg,Charensat,Frankreich,Europa,1991,p,48.0295,9.3774
Hohentengen am Hochrhein,79801,Baden-Württemberg,Montechiarugolo,Italien,Europa,1991,k,47.57,8.4325
Hohenwestedt,24594,Schleswig-Holstein,Billund,Dänemark,Europa,1967,p,54.0895,9.6574
Hohne,29362,Niedersachsen,Quettetot,Frankreich,Europa,2006,p,52.5833,10.3667
Hohnstein,1848,Sachsen,Louveciennes,Frankreich,Europa,1991,f,50.9833,14.1167
Hohnstorf (Elbe),21522,Niedersachsen,Ober-Savo-Gebiet,,Finnland,Europa,2000,53.3667,10.55
Höhr-Grenzhausen,56203,Rheinland-Pfalz,Semun-en-Auxois,Frankreich,Europa,1987,p,50.440005,7.67143
Höhr-Grenzhausen,56203,Rheinland-Pfalz,Laigueglia,Italien,Europa,1972,p,50.440005,7.67143
Holle,31188,Niedersachsen,Teneriffa,Spanien,Europa,2000,k,52.0833,10.15
Holle,31188,Niedersachsen,Uljanowsk,Rußland,Europa,2000,k,52.0833,10.15
Hollenbach,86568,Bayern,Contest,Frankreich,Europa,1991,p,48.4833,11.0667
Hollstadt,97618,Bayern,Frankenfels (Niederösterreich),Österreich,Europa,1974,p,50.35,10.3
Holzgerlingen,71088,Baden-Württemberg,Neuenhof,Schweiz,Europa,1984,p,48.6397,9.0119
Holzmaden,73271,Baden-Württemberg,Connantre,Frankreich,Europa,1990,f,48.6333,9.5167
Holzminden,37603,Niedersachsen,Levenmouth,Großbritannien,Europa,1986,p,51.8197,9.4646
Holzminden(Kreis)(Holzminden, Stadt),37603,Niedersachsen,Stichting Welzijn Anloo,Niederlande,Europa,1996,1.288011,103.852371
Holzwickede,59439,Nordrhein-Westfalen,Louviers,Frankreich,Europa,1978,p,51.5,7.6333
Holzwickede,59439,Nordrhein-Westfalen,Weymouth,Großbritannien,Europa,1988,p,51.5,7.6333
Homberg (Efze),34576,Hessen,Bridgwater,Großbritannien,Europa,1992,p,51.0299,9.4026
Homberg (Efze),34576,Hessen,Stolin,Belarus,Europa,1993,p,51.0299,9.4026
Homberg (Efze),34576,Hessen,Fresnes (Val-de-Marne),Frankreich,Europa,2008,p,51.0299,9.4026
Homberg (Ohm),35315,Hessen,Thouaré s. L.,Frankreich,Europa,1981,p,50.7333,9
Homburg,66424,Saarland,La Baule,Frankreich,Europa,1984,p,49.3264,7.3387
Hopsten,48496,Nordrhein-Westfalen,Calcinaia,Italien,Europa,2001,f,52.3833,7.6167
Hopsten,48496,Nordrhein-Westfalen,Vilanova del Cami,Spanien,Europa,2002,k,52.3833,7.6167
Hopsten,48496,Nordrhein-Westfalen,Noves,Frankreich,Europa,1988,p,52.3833,7.6167
Horb am Neckar,72160,Baden-Württemberg,Aix-les-Bains,Frankreich,Europa,1983,k,48.4442,8.6913
Horb am Neckar,72160,Baden-Württemberg,Salins-les-Bains,Frankreich,Europa,2000,p,48.4442,8.6913
Horb am Neckar,72160,Baden-Württemberg,Haslemere / Surrey,Großbritannien,Europa,1991,p,48.4442,8.6913
Horb am Neckar,72160,Baden-Württemberg,Sant Just Desvern,Spanien,Europa,2002,p,48.4442,8.6913
Hördt,76771,Rheinland-Pfalz,Stabroek,Belgien,Europa,1996,p,49.164826,8.338267
Horn-Bad Meinberg,32805,Nordrhein-Westfalen,Villedieu-les-Poêles,Frankreich,Europa,1974,p,51.8855,8.9624
Horn-Bad Meinberg,32805,Nordrhein-Westfalen,Bad Kudowa,Polen,Europa,2000,p,51.8855,8.9624
Hornberg,78132,Baden-Württemberg,Bischwiller,Frankreich,Europa,1997,p,48.2107,8.2327
Hornburg,38315,Niedersachsen,Montelabbate,Italien,Europa,1987,p,52.0309,10.6049
Hörsel,99880,Thüringen,Saclay,Frankreich,Europa,1996,p,50.921943,10.55803
Horst (Holstein),25358,Schleswig-Holstein,Sanniki,Polen,Europa,1995,k,53.8167,9.6167
Hörstel,48477,Nordrhein-Westfalen,Waltham Abbey,Großbritannien,Europa,1993,p,52.288897,7.596084
Hörstel,48477,Nordrhein-Westfalen,Dalfsen,Niederlande,Europa,1996,p,52.288897,7.596084
Hörstel,48477,Nordrhein-Westfalen,Moletai,Litauen,Europa,2006,p,52.288897,7.596084
Horstmar,48612,Nordrhein-Westfalen,Warnsveld,Niederlande,Europa,1991,p,52.081,7.3054
Hövelhof,33161,Nordrhein-Westfalen,Verrières le Buisson,Frankreich,Europa,1971,p,51.835754,8.669289
Höxter,37671,Nordrhein-Westfalen,Corbie,Frankreich,Europa,1964,p,51.768659,9.330965
Höxter,37671,Nordrhein-Westfalen,Sudbury,Großbritannien,Europa,1980,p,51.768659,9.330965
Höxter(Kreis),37671,Nordrhein-Westfalen,Kielce,Polen,Europa,2000,p,51.768659,9.330965
Hoya,27318,Niedersachsen,Doue la Fontaine,Frankreich,Europa,2005,k,52.8078,9.1403
Hoyerswerda,2977,Sachsen,Creutzwald,Frankreich,Europa,1990,k,51.4379,14.2355
Hoyerswerda,2977,Sachsen,Folkestone,Großbritannien,Europa,1991,k,51.4379,14.2355
Hoyerswerda,2977,Sachsen,Huittinen,Finnland,Europa,1998,p,51.4379,14.2355
Hoyerswerda,2977,Sachsen,Sroda Wielkopolska,Polen,Europa,2006,p,51.4379,14.2355
Hückelhoven,41836,Nordrhein-Westfalen,Breteuil-sur-Iton,Frankreich,Europa,1987,p,51.038443,6.244478
Hückelhoven,41836,Nordrhein-Westfalen,Hartlepool,Großbritannien,Europa,1973,p,51.038443,6.244478
Hückeswagen,42499,Nordrhein-Westfalen,Etaples sur Mer,Frankreich,Europa,1972,p,51.148787,7.346948
Hude,25876,Schleswig-Holstein,Sirnitz,Österreich,Europa,2002,k,54.3833,9.2167
Hude (Oldb),27798,Niedersachsen,Fiume Veneto,Italien,Europa,2002,p,53.1077,8.4632
Hude (Oldb),27798,Niedersachsen,Nowe Miasto Lubawskie,Polen,Europa,2003,p,53.1077,8.4632
Hude (Oldb),27798,Niedersachsen,Slupsk,Polen,Europa,2000,k,53.1077,8.4632
Hude (Oldb),27798,Niedersachsen,Farnsum,Niederlande,Europa,2000,k,53.1077,8.4632
Hude (Oldb),27798,Niedersachsen,Kezmarok,Slow. Republik,Europa,2000,k,53.1077,8.4632
Hude (Oldb),27798,Niedersachsen,Szamocin,Polen,Europa,2000,k,53.1077,8.4632
Hude (Oldb),27798,Niedersachsen,Leen,Niederlande,Europa,2000,k,53.1077,8.4632
Hude (Oldb),27798,Niedersachsen,Lassa Houde,Togo,Afrika,2000,k,53.1077,8.4632
Hude (Oldb),27798,Niedersachsen,Arnage,Frankreich,Europa,1983,p,53.1077,8.4632
Hude (Oldb),27798,Niedersachsen,Mexico-City,Mexiko,Amerika,1988,k,53.1077,8.4632
Hude (Oldb),27798,Niedersachsen,Delfzil,Niederlande,Europa,2000,k,53.1077,8.4632
Hüffenhardt,74928,Baden-Württemberg,Champvans,Frankreich,Europa,1980,p,49.302229,9.080343
Hüffenhardt,74928,Baden-Württemberg,Máriakálnok,Ungarn,Europa,2005,p,49.302229,9.080343
Hüfingen,78183,Baden-Württemberg,Luxeuil-les-Bains,Frankreich,Europa,1964,f,47.894759,8.528866
Hüfingen,78183,Baden-Württemberg,Ornans,Frankreich,Europa,1978,p,47.894759,8.528866
Hügelsheim,76549,Baden-Württemberg,Grand Centre,Kanada,Amerika,1984,f,48.798759,8.109909
Hüllhorst,32609,Nordrhein-Westfalen,Ingelmunster,Belgien,Europa,1976,p,52.265156,8.648824
Hüllhorst,32609,Nordrhein-Westfalen,Mjadel,,,1995,k,52.265156,8.648824
Hunderdorf,94336,Bayern,St. Johann am Wimberg,Österreich,Europa,1987,p,48.9488,12.727
Hünfeld,36088,Hessen,Landerneau,Frankreich,Europa,1968,p,50.669493,9.775166
Hünfeld,36088,Hessen,Prószków (Proskau),Polen,Europa,1997,p,50.669493,9.775166
Hünfelden,65597,Hessen,Destelbergen,Belgien,Europa,2000,k,50.317622,8.16495
Hünfelden,65597,Hessen,Le Thillay,Frankreich,Europa,1982,p,50.317622,8.16495
Hünfelden,65597,Hessen,Giulianova,Italien,Europa,2000,k,50.317622,8.16495
Hungen,35410,Hessen,Saint Bonnet de Mure,Frankreich,Europa,1988,p,50.4731,8.8996
Hünstetten,65510,Hessen,Neukirchen,Österreich,Europa,1981,p,50.232354,8.219802
Hünxe,46569,Nordrhein-Westfalen,Rochecorbon,Frankreich,Europa,1988,p,51.649989,6.775509
Hürth,50354,Nordrhein-Westfalen,Kabarnet,Kenia,Afrika,1988,p,50.873481,6.84985
Hürth,50354,Nordrhein-Westfalen,Argelès sur Mer,Frankreich,Europa,1988,p,50.873481,6.84985
Hürth,50354,Nordrhein-Westfalen,Thetford,Großbritannien,Europa,1966,p,50.873481,6.84985
Hürth,50354,Nordrhein-Westfalen,Spijkenisse,Niederlande,Europa,1966,p,50.873481,6.84985
Hürth,50354,Nordrhein-Westfalen,Skawina,Polen,Europa,1996,p,50.873481,6.84985
Hürth,50354,Nordrhein-Westfalen,Burhaniye,Türkei,Europa,2011,p,50.873481,6.84985
Husum,25813,Schleswig-Holstein,Gentofte,Dänemark,Europa,2000,f,54.4858,9.0524
Husum,25813,Schleswig-Holstein,Gram,Dänemark,Europa,2000,k,54.4858,9.0524
Husum,25813,Schleswig-Holstein,Kidderminster,Großbritannien,Europa,1977,p,54.4858,9.0524
Hütschenhausen,66882,Rheinland-Pfalz,Precy sur Oise,Frankreich,Europa,1995,p,49.421589,7.462945
Hüttenberg,35625,Hessen,Göstling,Österreich,Europa,1991,p,50.50336,8.544117
Hüttenberg,35625,Hessen,Crémieu,Frankreich,Europa,1993,p,50.50336,8.544117
Ibbenbüren,49477,Nordrhein-Westfalen,Hellendoorn,Niederlande,Europa,1968,p,52.278733,7.706851
Ibbenbüren,49477,Nordrhein-Westfalen,Prievidza (Priwitz),Slow. Republik,Europa,1988,p,52.278733,7.706851
Ibbenbüren,49477,Nordrhein-Westfalen,Gourdon,Frankreich,Europa,1999,p,52.278733,7.706851
Ichenhausen,89335,Bayern,Changé,Frankreich,Europa,1994,p,48.3731,10.2924
Ichenhausen,89335,Bayern,Valeggio,Italien,Europa,1982,p,48.3731,10.2924
Idar-Oberstein,55743,Rheinland-Pfalz,Achicourt,Frankreich,Europa,1966,p,49.7144,7.3078
Idar-Oberstein,55743,Rheinland-Pfalz,Les Mureaux,Frankreich,Europa,1971,p,49.7144,7.3078
Idar-Oberstein,55743,Rheinland-Pfalz,Margate,Großbritannien,Europa,1981,p,49.7144,7.3078
Idar-Oberstein,55743,Rheinland-Pfalz,Turnov,Tschech. Republik,Europa,2006,p,49.7144,7.3078
Idar-Oberstein,55743,Rheinland-Pfalz,Goiâna,Brasilien,Amerika,2003,k,49.7144,7.3078
Idstein,65510,Hessen,Zwijndrecht,Belgien,Europa,1970,p,50.2177,8.2668
Idstein,65510,Hessen,Lana,Italien,Europa,1988,p,50.2177,8.2668
Idstein,65510,Hessen,Uglitsch,Rußland,Europa,1995,p,50.2177,8.2668
Idstein,65510,Hessen,Sile,Türkei,Europa,2010,p,50.2177,8.2668
Iffeldorf,82393,Bayern,Chateaubourg,Frankreich,Europa,1982,p,47.7784,11.3154
Igensdorf,91338,Bayern,Saint Martin la Plaine,Frankreich,Europa,1992,p,49.6229,11.2308
Ihringen,79241,Baden-Württemberg,Munster,Frankreich,Europa,1990,p,48.05,7.65
Ihringen,79241,Baden-Württemberg,Wattwiller,Frankreich,Europa,1965,p,48.05,7.65
Ilfeld,99768,Thüringen,Ottery St. Mary,Großbritannien,Europa,2005,p,51.5897514,10.785773
Illerkirchberg,89171,Baden-Württemberg,Brives-Charensac,Frankreich,Europa,1988,p,48.3241,10.0183
Illerrieden,89186,Baden-Württemberg,Guignicourt,Frankreich,Europa,1986,p,48.2667,10.05
Illertissen,89257,Bayern,Carnac,Frankreich,Europa,1974,p,48.2234,10.1035
