gemeindename,plz,bundesland,partnergemeinde,land,kontinent,seit,form,latitude,longitude
Bötzingen,79268,Baden-Württemberg,Rodern,Frankreich,Europa,2000,k,48.073501,7.719652
Bous,66359,Saarland,Quétigny,Frankreich,Europa,1989,p,49.2817,6.8214
Bous,66359,Saarland,Koulikoro,Mali,Afrika,1989,p,49.2817,6.8214
Bovenden,37120,Niedersachsen,Guichen,Frankreich,Europa,2000,k,51.5918,9.93
Bovenden,37120,Niedersachsen,Dursley,Großbritannien,Europa,1990,p,51.5918,9.93
Brachbach,57555,Rheinland-Pfalz,La Membrolle-sur-Choisille,Frankreich,Europa,1987,p,50.8167,7.9333
Brackenheim,74336,Baden-Württemberg,Charnay-lès-Mâcon,Frankreich,Europa,1978,p,49.0779,9.066
Brackenheim,74336,Baden-Württemberg,Castagnole delle Lanze,Italien,Europa,1996,p,49.0779,9.066
Brackenheim,74336,Baden-Württemberg,Zbroslawice,Polen,Europa,2001,f,49.0779,9.066
Brackenheim,74336,Baden-Württemberg,Marsan,Frankreich,Europa,1962,p,49.0779,9.066
Brake (Unterweser),26919,Niedersachsen,Borough of Havant,Großbritannien,Europa,1966,p,53.3252,8.465
Brakel,33034,Nordrhein-Westfalen,Wetteren,Belgien,Europa,1971,p,51.7137,9.1836
Bramsche,49565,Niedersachsen,Horfleur,Frankreich,Europa,1979,p,52.4031,7.9883
Bramsche,49565,Niedersachsen,Todmorden,Großbritannien,Europa,1978,p,52.4031,7.9883
Bramsche,49565,Niedersachsen,Raanana,Israel,Asien,1978,p,52.4031,7.9883
Brand-Erbisdorf,9618,Sachsen,Rouvroy,Frankreich,Europa,1963,f,50.8683,13.3228
Brande-Hörnerkirchen,25364,Schleswig-Holstein,Tommerup,Dänemark,Europa,1993,p,53.858592,9.723953
Brandenburg an der Havel,14770,Brandenburg,Ivry-sur-Seine,Frankreich,Europa,1963,p,52.4189,12.5228
Brandenburg an der Havel,14770,Brandenburg,Magnitogorsk,Rußland,Europa,1989,p,52.4189,12.5228
Braubach,56338,Rheinland-Pfalz,Villeneuve-sur-Yonne,Frankreich,Europa,2000,p,50.2833,7.6667
Braunfels,35619,Hessen,Rohrmoos-Untertal,Österreich,Europa,1961,p,50.5009,8.3956
Braunfels,35619,Hessen,Eeklo,Belgien,Europa,1975,p,50.5009,8.3956
