"gemeindename","plz","bundesland","latitude","longitude","partnergemeinde","land","kontinent","seit","form","latitude_partner","longitude_partner"
"Apolda","99510","Thüringen","51.0262","11.5164","Rapid City","USA","Amerika","1994","p","44.0805","-103.231"
"Appen","25482","Schleswig-Holstein","53.65","9.7333","Polegate (East Sussex)","Großbritannien","Europa","1981","p","50.820374","0.225149"
"Appenweier","77767","Baden-Württemberg","48.5356","7.9784","Montlouis-sur-Loire","Frankreich","Europa","1975","p","47.3884","0.8321"
"Armsheim","55288","Rheinland-Pfalz","49.8097","8.0567","Fleville-Devant-Nancy","Frankreich","Europa","1988","p","48.6253","6.2036"
"Arnsberg","59759","Nordrhein-Westfalen","51.4263","7.9913","London Borough of Bexley","Großbritannien","Europa","1971","p","51.499571","-0.135713"
"Arnsberg","59759","Nordrhein-Westfalen","51.4263","7.9913","Deventer","Niederlande","Europa","1956","p","52.2658183","6.1552055"
"Arnsberg","59759","Nordrhein-Westfalen","51.4263","7.9913","Olesno (Rosenberg)","Polen","Europa","1992","p","29.5572","-95.8086"
"Arnsberg","59759","Nordrhein-Westfalen","51.4263","7.9913","Alba Julia (Karlsburg)","Rumänien","Europa","1974","p","41.192465","20.018537"
"Arnsberg","59759","Nordrhein-Westfalen","51.4263","7.9913","Caltagirone","Italien","Europa","2011","p","37.226648","14.482986"
"Arnstadt","99310","Thüringen","50.8405","10.952","Dubi (Duby)","Tschech. Republik","Europa","1994","f","50.6856","13.7856"
"Arnstadt","99310","Thüringen","50.8405","10.952","Le Bouscat","Frankreich","Europa","1994","p","44.8686","-0.6008"
"Arnstein","97450","Bayern","49.978","9.9638","Cancale","Frankreich","Europa","1988","p","48.676","-1.8523"
"Arnstein","97450","Bayern","49.978","9.9638","Lugniany (Lugendorf )","Polen","Europa","1993","p","-9.687","124.4804"
"Artern/Unstrut","6556","Thüringen","","","Mazingarbe","Frankreich","Europa","1996","p","50.4731","2.7181"
"Artern/Unstrut","6556","Thüringen","","","Topolcany (Topoltschan)","Slow. Republik","Europa","1992","p","48.5636","18.1671"
"Arzberg","95659","Bayern","50.052","12.1801","Arzberg i. d. Steiermark","Österreich","Europa","1977","p","47.2423","15.506"
"Arzberg","95659","Bayern","50.052","12.1801","Horni Slavkov","Tschech. Republik","Europa","2008","p","50.1386","12.8076"
"Asbach","53567","Rheinland-Pfalz","50.6667","7.4167","Cuiseaux","Frankreich","Europa","1984","k","46.4942","5.3878"
"Asbach","53567","Rheinland-Pfalz","50.6667","7.4167","Saint-Amur","Frankreich","Europa","1984","k","39.6592","-76.4012"
"Asbach","53567","Rheinland-Pfalz","50.6667","7.4167","Northampton","Großbritannien","Europa","1981","k","52.241385","-0.897051"
"Asbach","53567","Rheinland-Pfalz","50.6667","7.4167","Kefar-Saba","Israel","Asien","1986","k","31.386006","34.632182"
"Aschaffenburg","63739","Bayern","49.9757","9.1478","Saint Germain-en-Laye","Frankreich","Europa","1975","p","48.935912","2.091935"
"Aschaffenburg","63739","Bayern","49.9757","9.1478","Perth & Kinross","Großbritannien","Europa","1956","p","56.526382","-3.794028"
"Aschaffenburg","63739","Bayern","49.9757","9.1478","Miskolc","Ungarn","Europa","1996","p","48.1029","20.7836"
"Ascheberg","59387","Nordrhein-Westfalen","51.7833","7.6167","Buggiano","Italien","Europa","2004","p","43.889427","10.732733"
"Aschersleben","6449","Sachsen-Anhalt","51.7778","11.4889","Morso","Dänemark","Europa","2000","k","56.7833","8.75"
"Aschersleben","6449","Sachsen-Anhalt","51.7778","11.4889","Cordoba","Spanien","Europa","2000","k","37.6692806","-4.9416744"
"Aschersleben","6449","Sachsen-Anhalt","51.7778","11.4889","Lille","Frankreich","Europa","2000","k","50.633","3.0586"
"Aschersleben","6449","Sachsen-Anhalt","51.7778","11.4889","Forssa","Finnland","Europa","2000","k","60.9033","23.6395"
"Aschersleben","6449","Sachsen-Anhalt","51.7778","11.4889","Trencianske Teplice","Slow. Republik","Europa","2002","p","48.9106","18.1669"
"Aschersleben","6449","Sachsen-Anhalt","51.7778","11.4889","Kerava","Finnland","Europa","2009","k","60.3956","25.1175"
"Aschheim","85609","Bayern","48.1711","11.7167","Mougins","Frankreich","Europa","2000","p","43.5987","7.0043"
"Aschheim","85609","Bayern","48.1711","11.7167","Jedovnice","Tschech. Republik","Europa","2000","p","49.3396","16.7564"
"Aschheim","85609","Bayern","48.1711","11.7167","Leros","Griechenland","Europa","2000","p","51.290207","-103.870548"
"Asendorf","27330","Niedersachsen","52.7667","9","Trzciel (Tirschtiegel)","Polen","Europa","1993","p","-9.687","124.4804"
"Aspach","71546","Baden-Württemberg","48.9667","9.4","Chemillé","Frankreich","Europa","2000","k","46.4877","3.3127"
"Asperg","71679","Baden-Württemberg","48.9049","9.1389","Lure","Frankreich","Europa","1967","p","47.6831","6.4967"
"Aßlar","35614","Hessen","50.620844","8.445054","Saint-Ambroix","Frankreich","Europa","1966","p","44.248588","4.184154"
"Aßlar","35614","Hessen","50.620844","8.445054","Swiebodzice","Polen","Europa","2004","f","-9.687","124.4804"
"Aßlar","35614","Hessen","50.620844","8.445054","Fassato di Vico","Italien","Europa","2004","k","50.657794","6.787458"
"Aßlar","35614","Hessen","50.620844","8.445054","Borlänge","Schweden","Europa","2004","f","54.4667","10.0833"
"Attendorn","57439","Nordrhein-Westfalen","51.1264","7.9033","Demain","Frankreich","Europa","1984","k","47.928974","16.203671"
"Attendorn","57439","Nordrhein-Westfalen","51.1264","7.9033","L'Arbrele","Frankreich","Europa","1979","k","",""
"Attendorn","57439","Nordrhein-Westfalen","51.1264","7.9033","Maidstone","Großbritannien","Europa","1981","k","51.280559","0.532568"
"Attendorn","57439","Nordrhein-Westfalen","51.1264","7.9033","Binyamina","Israel","Asien","1980","k","32.532486","34.955032"
"Aue","8280","Sachsen","50.5903","12.7066","Guingamp","Frankreich","Europa","2011","p","48.5622","-3.1501"
"Aue-Fallstein (Verbandsgemeinde)","38835","Sachsen-Anhalt","51.987112","10.694619","Lisses","Frankreich","Europa","1996","p","48.5978","2.4264"
"Auenwald","71549","Baden-Württemberg","48.9333","9.5","Beaurepaire (Isère)","Frankreich","Europa","1987","p","45.3383","5.0544"
"Auenwald","71549","Baden-Württemberg","48.9333","9.5","Telki (Töleck)","Ungarn","Europa","1994","k","47.5479","18.8282"
"Auerbach","9392","Sachsen","50.6833","12.9167","Leers","Frankreich","Europa","1993","p","50.6817","3.2439"
"Auerbach i.d.OPf.","91275","Bayern","49.687989","11.603837","Horni Slavkov (Schlaggenwald)","Tschech. Republik","Europa","2000","k","50.1386","12.8076"
