municipality,plz,bundesland,state,latitude,longitude,municipality_place_name,partnergemeinde,land,country,kontinent,continent,seit,form,partner_latitude,partner_longitude,partner_place_name
Aindling,86447,Bayern,Bavaria,48.513600,10.953100,"Aindling, 86447, Bayern, Germany",Avord,Frankreich,France,Europa,Europe,1976,p,47.033100,2.653300,"Avord, 18520, Cher, France"
Aindling,86447,Bayern,Bavaria,48.513600,10.953100,"Aindling, 86447, Bayern, Germany",Fürstenfeld,Österreich,Austria,Europa,Europe,1952,f,47.695940,14.755756,Austria
Aken (Elbe),6385,Sachsen-Anhalt,Saxony-Anhalt,51.850000,12.050000,"Aken (Elbe), 06385, Sachsen-Anhalt, Germany",Anor,Frankreich,France,Europa,Europe,1993,p,49.990000,4.100500,"Anor, 59186, Nord, France"
Alb-Donau-Kreis (Kreis),89077,Baden-Württemberg,Baden-Wurttemberg,48.330571,9.932762,"Alb-Donau-Straße, Ulm, 89079, Baden-Württemberg, Germany",Mid Glamorgan,Großbritannien,United Kingdom,Europa,Europe,2000,p,56.681474,-3.005699,"Mid Road, Angus, DD8 4QX, Angus, United Kingdom"
Albbruck,79774,Baden-Württemberg,Baden-Wurttemberg,47.600000,8.133300,"Albbruck, 79774, Baden-Württemberg, Germany",Carmigno di Brenta,Italien,Italy,Europa,Europe,1965,p,42.508793,12.677718,Italy
Albersdorf,25767,Schleswig-Holstein,Schleswig-Holstein,54.147900,9.278300,"Albersdorf, 25767, Schleswig-Holstein, Germany",Manneville,Frankreich,France,Europa,Europe,1985,p,50.472505,3.221381,"Manneville, Orchies, 59310, Nord, France"
Albersweiler,76857,Rheinland-Pfalz,Rheinland-Pfalz,49.219200,8.030000,"Albersweiler, 76857, Rheinland-Pfalz, Germany",Abreschviller,Frankreich,France,Europa,Europe,1993,p,48.636900,7.096700,"Abreschviller, 57560, Moselle, France"
Albig,55234,Rheinland-Pfalz,Rheinland-Pfalz,49.773600,8.121400,"Albig, 55234, Rheinland-Pfalz, Germany",Signy l`Abbaye (Ardennes),Frankreich,France,Europa,Europe,1975,p,49.697500,4.420300,"Signy-l'Abbaye, 08460, Ardennes, France"
Albstadt,72458,Baden-Württemberg,Baden-Wurttemberg,48.216400,9.026000,"Albstadt, 72458, Baden-Württemberg, Germany",Chambéry,Frankreich,France,Europa,Europe,1979,p,49.592600,3.657800,"Chambry, 02000, Aisne, France"
Aldenhoven,52457,Nordrhein-Westfalen,North Rhine-Westphalia,50.892400,6.274600,"Aldenhoven, 52457, Nordrhein-Westfalen, Germany",Albert,Frankreich,France,Europa,Europe,1981,p,50.000900,2.651000,"Albert, 80300, Somme, France"
Alfeld (Leine),31061,Niedersachsen,Lower Saxony,51.983800,9.819900,"Alfeld (Leine), 31061, Niedersachsen, Germany",Wakefield,Großbritannien,United Kingdom,Europa,Europe,1991,p,53.658074,-1.494312,"Wakefield, WF2 7JA, Wakefield, United Kingdom"
Alfhausen,49594,Niedersachsen,Lower Saxony,52.500000,7.950000,"Alfhausen, 49594, Niedersachsen, Germany",La Meignanne,Frankreich,France,Europa,Europe,2001,p,47.519400,-0.669200,"La Meignanne, 49770, Maine-et-Loire, France"
